"","zip","family_size","income_limit","year"
"1","100","1",30187.5,"2017"
"2","100","2",34506.25,"2017"
"3","100","3",38818.75,"2017"
"4","100","4",43118.75,"2017"
"5","100","5",46581.25,"2017"
"6","100","6",50031.25,"2017"
"7","100","7",53475,"2017"
"8","100","8",56931.25,"2017"
"9","100","9",65470.9375,"2017"
"10","100","10",75291.578125,"2017"
"11","100","11",86585.31484375,"2017"
"12","100","NoAnswer",1,"2017"
"13","101","1",30500,"2017"
"14","101","2",34864.2857142857,"2017"
"15","101","3",39221.4285714286,"2017"
"16","101","4",43564.2857142857,"2017"
"17","101","5",47064.2857142857,"2017"
"18","101","6",50550,"2017"
"19","101","7",54028.5714285714,"2017"
"20","101","8",57521.4285714286,"2017"
"21","101","9",66149.6428571429,"2017"
"22","101","10",76072.0892857143,"2017"
"23","101","11",87482.9026785714,"2017"
"24","101","NoAnswer",1,"2017"
"25","102","1",29350,"2017"
"26","102","2",33550,"2017"
"27","102","3",37737.5,"2017"
"28","102","4",41925,"2017"
"29","102","5",45287.5,"2017"
"30","102","6",48637.5,"2017"
"31","102","7",51987.5,"2017"
"32","102","8",55350,"2017"
"33","102","9",63652.5,"2017"
"34","102","10",73200.375,"2017"
"35","102","11",84180.43125,"2017"
"36","102","NoAnswer",1,"2017"
"37","103","1",30500,"2017"
"38","103","2",34864.2857142857,"2017"
"39","103","3",39221.4285714286,"2017"
"40","103","4",43564.2857142857,"2017"
"41","103","5",47064.2857142857,"2017"
"42","103","6",50550,"2017"
"43","103","7",54028.5714285714,"2017"
"44","103","8",57521.4285714286,"2017"
"45","103","9",66149.6428571429,"2017"
"46","103","10",76072.0892857143,"2017"
"47","103","11",87482.9026785714,"2017"
"48","103","NoAnswer",1,"2017"
"49","104","1",33440,"2017"
"50","104","2",38240,"2017"
"51","104","3",43000,"2017"
"52","104","4",47760,"2017"
"53","104","5",51610,"2017"
"54","104","6",55420,"2017"
"55","104","7",59230,"2017"
"56","104","8",63070,"2017"
"57","104","9",72530.5,"2017"
"58","104","10",83410.075,"2017"
"59","104","11",95921.58625,"2017"
"60","104","NoAnswer",1,"2017"
"61","105","1",31812.5,"2017"
"62","105","2",36375,"2017"
"63","105","3",40906.25,"2017"
"64","105","4",45437.5,"2017"
"65","105","5",49093.75,"2017"
"66","105","6",52725,"2017"
"67","105","7",56350,"2017"
"68","105","8",60000,"2017"
"69","105","9",69000,"2017"
"70","105","10",79350,"2017"
"71","105","11",91252.5,"2017"
"72","105","NoAnswer",1,"2017"
"73","106","1",32071.4285714286,"2017"
"74","106","2",36664.2857142857,"2017"
"75","106","3",41242.8571428571,"2017"
"76","106","4",45807.1428571429,"2017"
"77","106","5",49492.8571428571,"2017"
"78","106","6",53157.1428571429,"2017"
"79","106","7",56814.2857142857,"2017"
"80","106","8",60485.7142857143,"2017"
"81","106","9",69558.5714285714,"2017"
"82","106","10",79992.3571428571,"2017"
"83","106","11",91991.2107142857,"2017"
"84","106","NoAnswer",1,"2017"
"85","107","1",31390,"2017"
"86","107","2",35885,"2017"
"87","107","3",40365,"2017"
"88","107","4",44835,"2017"
"89","107","5",48440,"2017"
"90","107","6",52025,"2017"
"91","107","7",55605,"2017"
"92","107","8",59200,"2017"
"93","107","9",68080,"2017"
"94","107","10",78292,"2017"
"95","107","11",90035.8,"2017"
"96","107","NoAnswer",1,"2017"
"97","108","1",32237.5,"2017"
"98","108","2",36856.25,"2017"
"99","108","3",41456.25,"2017"
"100","108","4",46043.75,"2017"
"101","108","5",49750,"2017"
"102","108","6",53431.25,"2017"
"103","108","7",57106.25,"2017"
"104","108","8",60800,"2017"
"105","108","9",69920,"2017"
"106","108","10",80408,"2017"
"107","108","11",92469.2,"2017"
"108","108","NoAnswer",1,"2017"
"109","109","1",30315,"2017"
"110","109","2",34650,"2017"
"111","109","3",38980,"2017"
"112","109","4",43295,"2017"
"113","109","5",46775,"2017"
"114","109","6",50240,"2017"
"115","109","7",53700,"2017"
"116","109","8",57170,"2017"
"117","109","9",65745.5,"2017"
"118","109","10",75607.325,"2017"
"119","109","11",86948.42375,"2017"
"120","109","NoAnswer",1,"2017"
"121","110","1",33400,"2017"
"122","110","2",38183.3333333333,"2017"
"123","110","3",42950,"2017"
"124","110","4",47700,"2017"
"125","110","5",51533.3333333333,"2017"
"126","110","6",55350,"2017"
"127","110","7",59150,"2017"
"128","110","8",62983.3333333333,"2017"
"129","110","9",72430.8333333333,"2017"
"130","110","10",83295.4583333333,"2017"
"131","110","11",95789.7770833333,"2017"
