"","ZIP3","totalPopulation","wRUCC"
"1","005",1493350,1
"2","006",1566523,2.12416925892566
"3","007",2357768,1.32510280909742
"4","008",106405,5.07837977538649
"5","009",1335326,1
"6","010",1622713,2.16883022444511
"7","011",463490,2
"8","012",824161,2.33241441902735
"9","013",1159223,2.2363333025656
"10","014",2301637,1.34694958414381
"11","015",3435977,1.3673022258298
"12","016",798552,2
"13","017",2972487,1.26864776868663
"14","018",2246244,1
"15","019",2968267,1
"16","020",3939162,1
"17","021",3390877,1
"18","022",2895958,1
"19","023",1929942,1.22372485805273
"20","024",2895958,1
"21","025",1285799,1.46042810734804
"22","026",215888,3
"23","027",1730589,1.05732730301649
"24","028",1052567,1
"25","029",842700,1
"26","030",965532,1.87004470074529
"27","031",842389,1.99723049564987
"28","032",1283415,2.64380578378778
"29","033",146445,4
"30","034",477838,2.32277466421674
"31","035",122173,5.54111792294533
"32","036",120859,5.08577764171473
"33","037",132860,5.65846755983742
"34","038",723403,1.85220133176113
"35","039",197131,2
"36","040",571931,2.40447536503529
"37","041",281674,2
"38","042",669878,3.36315866471208
"39","043",230687,4.62775102194749
"40","044",421616,5.23633590755569
"41","045",109486,5.70295745574777
"42","046",127010,6.57154554759468
"43","047",225793,4.27320156072155
"44","048",112979,6.9616831446552
"45","049",455127,4.61299153862548
"46","050",176367,6.31546150923926
"47","051",138308,6.7315773491049
"48","052",143280,5.45023031825796
"49","053",81638,6.54524853622088
"50","054",299788,4.14001227534124
"51","055",743159,1
"52","056",364769,4.91852926098435
"53","057",192258,5.65351766896566
"54","058",148773,6.04878573397055
"55","059",6306,9
"56","060",2264785,1.63240351733167
"57","061",894014,1
"58","062",545174,1.71992244677846
"59","063",1885833,1.20812182202772
"60","064",3265742,1.62875787493317
"61","065",862477,2
"62","066",916829,2
"63","067",2863247,1.82042764735281
"64","068",1106756,2.34321386104977
"65","069",916829,2
"66","070",4986654,1
"67","071",1821694,1
"68","072",1320468,1
"69","073",634266,1
"70","074",2831852,1
"71","075",1406342,1
"72","076",905116,1
"73","077",2016805,1
"74","078",878582,1.12371298296573
"75","079",1480568,1
"76","080",2167878,1.12664411927239
"77","081",962391,1
"78","082",977446,1.80093938693288
"79","083",883083,1.88652482269504
"80","084",274549,2
"81","085",3283845,1.11161093169745
"82","086",1445627,1.2535322043653
"83","087",1206947,1
"84","088",1906842,1.05700105200116
"85","089",809858,1
"86","100",1585873,1
"87","101",1585873,1
"88","102",1585873,1
"89","103",468730,1
"90","104",3920094,1
"91","105",2731419,1
"92","106",949113,1
"93","107",2334221,1
"94","108",2334221,1
"95","109",762047,1.30528431973356
"96","110",3570254,1
"97","111",2230722,1
"98","112",4735422,1
"99","113",2230722,1
"100","114",4735422,1
"101","115",3570254,1
"102","116",2230722,1
"103","117",2832882,1
"104","118",1339532,1
"105","119",1493350,1
"106","120",1267074,2.99142986123936
"107","121",1267074,2.99142986123936
"108","122",304204,2
"109","123",678538,2
"110","124",694194,3.04638040662985
"111","125",1093147,1.83530119919828
"112","126",297488,1
"113","127",680833,2.2301504186783
"114","128",392736,2.80313238409517
"115","129",285041,5.10743717570455
"116","130",1330338,2.61595549401731
"117","131",1424110,2.50955122848656
"118","132",467026,2
"119","133",778106,3.10790432151918
"120","134",778106,3.10790432151918
"121","135",299397,2
"122","136",428968,3.64688275116093
"123","137",563341,3.60712428174054
"124","138",563341,3.60712428174054
"125","139",200600,2
"126","140",1544794,1.86118537487846
"127","141",1495848,1.69303699306347
"128","142",919040,1
"129","143",216469,1
"130","144",1365092,1.84823074195732
"131","145",1365092,1.84823074195732
"132","146",744344,1
"133","147",306323,4.75458911018761
"134","148",613816,3.49359254239055
"135","149",88830,3
"136","150",2287344,1
"137","151",1966876,1
"138","152",1796337,1
"139","153",1469854,1.13159810430152
"140","154",826023,1.51651830518036
"141","155",644124,1.90968664418652
"142","156",1960686,1.25494444291437
"143","157",793511,2.34859378130864
"144","158",255027,5.94331972693087
"145","159",852321,2.51376300712994
"146","160",1949408,1.38722217206454
"147","161",913716,1.89875738194362
"148","162",2078088,1.46410931587113
"149","163",577218,3.21636885890599
"150","164",411146,2.83860721009082
"151","165",280566,2
"152","166",708028,3.75420746072189
"153","167",97938,7.3564908411444
"154","168",320783,3.80621167580576
"155","169",238171,4.75735500963593
"156","170",2551388,2.44984102770727
"157","171",268100,2
"158","172",667556,3.23036719016832
"159","173",1291230,2.07853519512403
"160","174",434972,2
"161","175",1563341,1.76632225470963
"162","176",519445,2
"163","177",463927,4.25980380534006
"164","178",779514,3.16689244837168
"165","179",1032698,2.66476065606789
"166","180",2718888,1.53831088297863
"167","181",647232,2
"168","182",771593,2.69170534206505
"169","183",590195,2.19056921864807
"170","184",887020,2.56051160064035
"171","185",214437,2
"172","186",978423,2.71504553756402
"173","187",320918,2
"174","188",165228,6.07780763550972
"175","189",1774620,1.19694188051527
"176","190",4008994,1
"177","191",2884859,1
"178","193",1577310,1.32932334163861
"179","194",2603551,1.26100583395524
"180","195",2861001,1.69639507291329
"181","196",411442,2
"182","197",538479,1
"183","198",538479,1
"184","199",897934,1.58107277372279
"185","200",2655226,1
"186","201",1981432,1
"187","202",3518646,1
"188","203",1672770,1
"189","204",1672770,1
"190","205",3206773,1
"191","206",1203859,1.17468989308549
"192","207",2748675,1
"193","208",1492247,1
